MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,Humidity9am,Humidity3pm,Cloud9am,Cloud3pm,Temp3pm,RainToday,RainTomorrow
19.5,22.4,15.6,6.2,0.0,W,41,S,SSW,17,92,84,8,8,20.9,Yes,Yes
19.5,25.6,6.0,3.4,2.7,W,41,W,E,9,83,73,7,7,24.8,Yes,Yes
21.6,24.5,6.6,2.4,0.1,W,41,ESE,ESE,17,88,86,7,8,23.0,Yes,Yes
20.2,22.8,18.8,2.2,0.0,W,41,NNE,E,22,83,90,8,8,20.9,Yes,Yes
19.7,25.7,77.4,4.8,0.0,W,41,NNE,W,11,88,74,8,8,25.5,Yes,Yes
20.2,27.2,1.6,2.6,8.6,W,41,W,ENE,9,69,62,6,6,26.0,Yes,Yes
18.6,26.3,6.2,5.2,5.2,W,41,W,S,15,75,80,4,7,22.3,Yes,Yes
17.2,22.3,27.6,5.8,2.1,W,41,S,SE,7,77,61,7,8,21.1,Yes,Yes
16.4,20.8,12.6,4.8,3.0,W,41,SSW,W,19,92,91,7,7,16.5,Yes,Yes
14.6,24.2,8.8,4.4,10.1,W,41,W,SSE,11,80,53,4,2,23.3,Yes,No
16.4,23.9,0.0,6.4,8.0,W,41,WNW,E,9,78,53,7,8,23.7,No,No
18.9,27.3,0.0,6.8,6.7,W,41,N,NE,7,68,67,7,7,24.7,No,Yes
18.4,22.8,14.4,7.0,3.3,W,41,S,S,24,87,70,8,7,21.0,Yes,Yes
16.9,24.3,3.0,3.2,8.7,W,41,SSW,SSE,15,81,51,7,1,23.3,Yes,No
18.3,24.4,0.0,6.2,8.5,W,41,SW,SSE,19,80,56,7,3,23.8,No,No
16.7,24.1,0.0,6.2,8.8,W,41,WNW,SSE,11,77,52,7,6,23.3,No,No
19.5,24.8,0.0,7.6,3.2,W,41,SE,ESE,13,63,62,7,7,23.4,No,No
18.6,25.3,0.0,4.2,4.5,W,41,SSE,ENE,13,70,59,7,6,23.8,No,No
19.0,24.8,0.0,5.2,7.5,W,41,WNW,E,7,79,65,7,7,23.4,No,No
18.3,26.4,0.0,4.6,11.1,W,41,W,E,13,80,60,3,1,25.2,No,No
20.6,26.8,0.0,6.8,6.4,W,41,WNW,SE,4,86,62,7,7,24.9,No,No
19.1,25.4,0.4,4.4,9.4,W,41,WNW,E,11,77,66,4,1,24.9,No,No
20.5,26.0,0.0,6.6,12.2,W,41,WSW,ESE,20,38,45,1,1,24.0,No,No
16.5,28.3,0.0,8.6,12.0,W,41,WNW,ESE,11,48,40,0,0,26.1,No,No
20.5,24.2,0.0,8.6,1.5,W,41,E,E,15,58,54,7,7,23.5,No,No
